DIYID,Name,Category,NameID
1,ショボいオノ,その他,272
2,いしのオノ,その他,65
3,オノ,その他,109
4,ショボいスコップ,その他,274
5,スコップ,その他,281
6,ショボいつりざお,その他,275
7,つりざお,その他,379
8,ショボいあみ,その他,271
9,あみ,その他,40
10,ショボいジョウロ,その他,273
11,ジョウロ,その他,270
12,パチンコ,その他,420
13,きんのオノ,その他,178
14,きんのスコップ,その他,181
15,きんのつりざお,その他,182
16,きんのあみ,その他,176
17,きんのジョウロ,その他,179
18,きんのパチンコ,その他,184
19,たかとびぼう,その他,323
20,はしご,その他,417
21,ステッキ,フーコ,289
22,おくすり,その他,104
23,サカナのまきエサ,その他,233
24,オカリナ,その他,103
25,パンフルート,春のわかたけ,449
26,おとしあなのタネ,ハキハキ男,108
27,たきび,その他,324
28,キャンプファイア,その他,172
29,たいまつ,その他,319
30,ものほしロープ,その他,533
31,かかし,コワイ男,137
32,きのえだのリース,アネキ女,155
33,きのえだのステッキ,フーコ,154
34,そぼくなDIYさぎょうだい,ハキハキ男,305
35,ちいさなDIYさぎょうだい,その他,351
36,DIYさぎょうだい,アネキ女,591
37,もくせいスツール,ゲンキ女,519
38,もくせいチェア,その他,521
39,もくせいミニテーブル,アネキ女,530
40,もくせいサイドテーブル,オトナ女,517
41,もくせいローテーブル,キザ男,531
42,もくせいテーブル,アネキ女,523
43,もくせいクロゼット,その他,516
44,もくせいチェスト,ぼんやり男,522
45,もくせいシングルベッド,その他,518
46,もくせいダブルベッド,キザ男,520
47,もくせいのすがたみ,ゲンキ女,527
48,もくせいテーブルミラー,アネキ女,524
49,もくせいのくずかご,アネキ女,525
50,まるたのスツール,その他,496
51,まるたのベンチ,その他,500
52,ワイルドなまるたのベンチ,ハキハキ男,586
53,まるたのダイニングテーブル,その他,498
54,まるたのラウンドテーブル,ゲンキ女,501
55,まるたのガーデンベッド,その他,491
56,まるたのソファ,ふつう女,497
57,まるたのロングソファ,ふつう女,502
58,まるたのベッド,その他,499
59,まるたのかざりだな,ふつう女,492
60,まるたのかべかけどけい,ぼんやり男,493
61,まるたのくい,その他,494
62,つみきのおもちゃ,その他,374
63,つみきスツール,ゲンキ女,370
64,つみきチェア,その他,371
65,つみきベンチ,アネキ女,377
66,つみきテーブル,その他,373
67,つみきチェスト,ふつう女,372
68,つみきベッド,ふつう女,376
69,つみきブックシェルフ,その他,375
70,つみきコンポ,その他,369
71,つみきウォールクロック,ゲンキ女,368
72,そぼくなせんめんだい,その他,306
73,そぼくなもくせいかんばん,ハキハキ男,307
74,ナチュラルなガーデンチェア,その他,407
75,ナチュラルなスクエアテーブル,ふつう女,410
76,ナチュラルなガーデンテーブル,その他,408
77,ロッキングチェア,その他,583
78,ベンチブランコ,その他,478
79,ハリボテのくさ,ふつう女,437
80,ハリボテのいけがき,ふつう女,435
81,ハリボテのやま,ハキハキ男,438
82,ハリボテのき,ハキハキ男,436
83,ちゃぶだい,コワイ男,357
84,トロフィーケース,ハキハキ男,397
85,ておしぐるま,ぼんやり男,381
86,もくば,ふつう女,532
87,とりかご,アネキ女,396
88,ふめんだい,ぼんやり男,470
89,アコースティックギター,キザ男,32
90,いぬごや,ハキハキ男,73
91,たる,その他,346
92,もくせいのバケツ,その他,528
93,バターかくはんき,オトナ女,418
94,すばこ,その他,295
95,えんげいワゴン,ゲンキ女,88
96,ぼんさいだな,コワイ男,484
97,やたい,マイル,545
98,みちしるべ,ぼんやり男,507
99,ナナメのみちしるべ,ぼんやり男,411
100,せかいのみちしるべ,マイル,301
101,そり,コワイ男,313
102,わなげ,その他,587
103,マトリョーシカ,ぼんやり男,489
104,ウクレレ,キザ男,80
105,もくぎょ,その他,515
106,せんたくおけ,その他,304
107,カッティングボード,ふつう女,141
108,デコイ,キザ男,383
109,まき,ハキハキ男,487
110,もくせいのこうぐばこ,ふつう女,526
111,キーハンガー,アネキ女,146
112,ブーメラン,ぼんやり男,468
113,しかのオブジェ,ぼんやり男,257
114,いちまいいたのかんばん,コワイ男,72
115,ボーンなドアプレート,ぼんやり男,479
116,にくきゅうのドアプレート,ゲンキ女,412
117,ログなドアプレート,オトナ女,580
118,ミックスウッドのかべ,オトナ女,508
119,よせぎのかべ,ふつう女,562
120,ダークなよせぎのかべ,アネキ女,318
121,ワイルドウッドのかべ,コワイ男,585
122,ちゃいろいヘリンボーンのかべ,アネキ女,355
123,こげちゃのヘリンボーンのかべ,キザ男,216
124,ふしありウッドウォール,キザ男,469
125,ログハウスのかべ,ゲンキ女,581
126,ウッディなかべ,ハキハキ男,83
127,せおいばしご,ハキハキ男,300
128,よこいたのさく,マイル,561
129,たていたのさく,マイル,341
130,まるたのさく,マイル,495
131,トゲトゲのさく,マイル,392
132,ゆうしてっせん,マイル,546
133,そぼくなもくせいのさく,マイル,308
134,ラティス,マイル,565
135,オリエンタルなさく,マイル,116
136,あきかんカリンバ,その他,30
137,タイヤのゆうぐ,その他,320
138,つまれたタイヤ,その他,366
139,ゴミぶくろ,その他,227
140,ゴミのやまなかべ,その他,226
141,おへやのゆか,その他,112
142,リサイクルながぐつ,その他,567
143,ねんどのおもちゃ,コワイ男,413
144,すやきのしょっき,オトナ女,297
145,とうきのジャグ,その他,390
146,かめ,その他,144
147,アロマポット,オトナ女,42
148,たぬきのおきもの,コワイ男,343
149,いしがま,その他,64
150,レンガのいど,マイル,578
151,サイロ,マイル,228
152,レンガのカベ,マイル,579
153,いしのスツール,その他,67
154,いしのテーブル,その他,68
155,バードバス,その他,414
156,みずのみば,マイル,506
157,ふんすい,マイル,476
158,よくあるにわいし,ぼんやり男,560
159,ひくいにわいし,オトナ女,452
160,こけむしたにわいし,ぼんやり男,217
161,たかいにわいし,オトナ女,322
162,ストーンアーチ,マイル,290
163,サウナストーブ,ぼんやり男,229
164,シンプルないど,マイル,278
165,ろてんぶろ,マイル,584
166,しょうはブロック,マイル,269
167,ようふうのはかいし,ふつう女,558
168,わふうのはかいし,ぼんやり男,589
169,せきしし,キザ男,302
170,せきひ,マイル,303
171,とうろう,キザ男,391
172,いしのみずうけ,オトナ女,69
173,いしのみずうけ～さくら～,桜の花びら,70
174,いしのみずうけ～もみじ～,紅葉の葉っぱ,71
175,かせきのドアプレート,ハキハキ男,140
176,いしのかべ,キザ男,66
177,ランダムストーンのかべ,オトナ女,566
178,ちかしつのゆか,キザ男,353
179,いしかべ,マイル,63
