DIYID,Name,Category,NameID,Filename
1,ショボいオノ,その他,274,ToolAxeStone
2,いしのオノ,その他,65,ToolAxeStoneNormal
3,オノ,その他,111,ToolAxe
4,ショボいスコップ,その他,276,ToolShovelWood
5,スコップ,その他,283,ToolScoop_Remake_0_0
6,ショボいつりざお,その他,277,ToolFishingrodWood
7,つりざお,その他,381,ToolAngling_Remake_0_0
8,ショボいあみ,その他,273,ToolNet
9,あみ,その他,40,ToolNetNormal_Remake_0_0
10,ショボいジョウロ,その他,275,ToolWateringWood
11,ジョウロ,その他,272,ToolWatering_Remake_0_0
12,パチンコ,その他,422,ToolSlingshot_Remake_0_0
13,きんのオノ,その他,180,ToolAxeGold
14,きんのスコップ,その他,183,ToolScoopGold
15,きんのつりざお,その他,184,ToolFishingrodGold
16,きんのあみ,その他,178,ToolNetGold
17,きんのジョウロ,その他,181,ToolWateringGold
18,きんのパチンコ,その他,186,ToolSlingshotGold
19,たかとびぼう,その他,325,LongWoodenStick
20,はしご,その他,419,ToolLadder
21,ステッキ,フーコ,291,ToolStickWood
22,おくすり,その他,106,ItemMedicine
23,サカナのまきエサ,その他,235,FishBait
24,オカリナ,「はじめてのDIYレシピ」,105,ToolOcarina
25,パンフルート,春のわかたけ,451,ToolPanpipe
26,おとしあなのタネ,ハキハキ男,110,PitfallSeed
27,たきび,物語,326,FtrBonfire
28,キャンプファイア,コワイ男,174,FtrCampfire
29,たいまつ,物語,321,FtrTorch
30,ものほしロープ,コワイ男,549,FtrClothesline_Remake_0_0
31,かかし,コワイ男,139,FtrScarecrow
32,きのえだのリース,アネキ女,157,FtrDoorOrnamentWreathBranch
33,きのえだのステッキ,フーコ,156,ToolStickTree
34,そぼくなDIYさぎょうだい,ハキハキ男,310,FtrWorkbenchStump
35,ちいさなDIYさぎょうだい,「チャレンジ!DIYレシピ」,354,FtrWorkbenchS_Remake_0_0
36,DIYさぎょうだい,アネキ女,607,FtrWorkbench_Remake_0_0
37,もくせいスツール,ゲンキ女,535,FtrWoodenStoolS_Remake_0_0
38,もくせいチェア,オトナ女,537,FtrWoodenChairS_Remake_0_0
39,もくせいミニテーブル,アネキ女,546,FtrWoodenTableMini_Remake_0_0
40,もくせいサイドテーブル,オトナ女,533,FtrWoodenTableS_Remake_0_0
41,もくせいローテーブル,キザ男,547,FtrWoodenTableM_Remake_0_0
42,もくせいテーブル,アネキ女,539,FtrWoodenTableL_Remake_0_0
43,もくせいクロゼット,物語,532,FtrWoodenCloset_Remake_0_0
44,もくせいチェスト,ぼんやり男,538,FtrWoodenChest_Remake_0_0
45,もくせいシングルベッド,ぼんやり男,534,FtrWoodenBedS_Remake_0_0
46,もくせいダブルベッド,キザ男,536,FtrWoodenBedW_Remake_0_0
47,もくせいのすがたみ,ゲンキ女,543,FtrWoodenMirror_Remake_0_0
48,もくせいテーブルミラー,アネキ女,540,FtrWoodenMirrorS_Remake_0_0
49,もくせいのくずかご,アネキ女,541,FtrTrashboxWood_Remake_0_0
50,まるたのスツール,ゲンキ女,512,FtrLogStoolS_Remake_0_0
51,まるたのベンチ,ふつう女,516,FtrLogStoolL_Remake_0_0
52,ワイルドなまるたのベンチ,ハキハキ男,602,FtrWoodBench_Remake_0_0
53,まるたのダイニングテーブル,コワイ男,514,FtrLogTableL_Remake_0_0
54,まるたのラウンドテーブル,ゲンキ女,517,FtrLogTableLRound_Remake_0_0
55,まるたのガーデンベッド,ゲンキ女,507,FtrLogBedS_Remake_0_0
56,まるたのソファ,ふつう女,513,FtrLogSofaS_Remake_0_0
57,まるたのロングソファ,ふつう女,518,FtrLogSofaL_Remake_0_0
