Name,Buy,Filename
アカデミーのきんのたて,非売品,FtrShieldHhaGold
アカデミーのぎんのたて,非売品,FtrShieldHhaSilver
アカデミーのどうのたて,非売品,FtrShieldHhaBronze
アカデミーのペナント,非売品,FtrPenantHha
アンティークなでんわ(ブラウン),,FtrAntiquePhoneW_Remake_0_0
アンティークなでんわ(ナチュラル),,FtrAntiquePhoneW_Remake_1_0
アンティークなでんわ(ブラック),,FtrAntiquePhoneW_Remake_2_0
インターフォンモニター,,FtrIntercom
ウォールクロック(シルバー),,FtrOfficeClock_Remake_0_0
ウォールクロック(ホワイト),,FtrOfficeClock_Remake_1_0
ウォールクロック(ブラック),,FtrOfficeClock_Remake_2_0
ウォールクロック(レッド),,FtrOfficeClock_Remake_3_0
ウォールクロック(ブルー),,FtrOfficeClock_Remake_4_0
エアコン(ホワイト),,FtrAirconditioner_Remake_0_0
エアコン(グレー),,FtrAirconditioner_Remake_1_0
エアコン(ブラック),,FtrAirconditioner_Remake_2_0
エアコン(ピンク),,FtrAirconditioner_Remake_3_0
エアコン(ブルー),,FtrAirconditioner_Remake_4_0
エアコン(ブラウン),,FtrAirconditioner_Remake_5_0
おサカナのドアプレート(ライトブルー),非売品,FtrDoorOrnamentFish_Remake_0_0
おサカナのドアプレート(レッド),非売品,FtrDoorOrnamentFish_Remake_1_0
おサカナのドアプレート(オレンジ),非売品,FtrDoorOrnamentFish_Remake_2_0
おサカナのドアプレート(イエロー),非売品,FtrDoorOrnamentFish_Remake_3_0
おサカナのドアプレート(グリーン),非売品,FtrDoorOrnamentFish_Remake_4_0
おサカナのドアプレート(ブルー),非売品,FtrDoorOrnamentFish_Remake_5_0
おサカナのドアプレート(ブラック),非売品,FtrDoorOrnamentFish_Remake_6_0
おサカナのドアプレート(グレー),非売品,FtrDoorOrnamentFish_Remake_7_0
オリエンタルなかざりだな(レッド),,FtrOrientalShelfWall_Remake_0_0
オリエンタルなかざりだな(ブルー),,FtrOrientalShelfWall_Remake_1_0
オリエンタルなかざりだな(ブラウン),,FtrOrientalShelfWall_Remake_2_0
オリエンタルなかざりだな(ブラック),,FtrOrientalShelfWall_Remake_3_0
がくしゅうポスター(アルファベット),,FtrStudyposter_Remake_0_0
がくしゅうポスター(九九),,FtrStudyposter_Remake_1_0
がくしゅうポスター(元素記号),,FtrStudyposter_Remake_2_0
がくしゅうポスター(星図),,FtrStudyposter_Remake_3_0
かけじく(緑),,FtrHangingscroll_Remake_0_0
かけじく(茶色),,FtrHangingscroll_Remake_1_0
かけじく(桃色),,FtrHangingscroll_Remake_2_0
かけじく(青),,FtrHangingscroll_Remake_3_0
かけじく(紫),,FtrHangingscroll_Remake_4_0
カセキのかべかざり,非売品,FtrMuseumFossilWall
かべかけカジキ,,FtrFishKajikiWall
かべかけスポットライト(ホワイト),,FtrLampSpotWall_Remake_0_0
かべかけスポットライト(イエロー),,FtrLampSpotWall_Remake_1_0
かべかけスポットライト(オレンジ),,FtrLampSpotWall_Remake_2_0
かべかけスポットライト(レッド),,FtrLampSpotWall_Remake_3_0
かべかけスポットライト(ピンク),,FtrLampSpotWall_Remake_4_0
